Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2024-01-20 - WPG 2, OTT 1",OTT,65,55,48,41,35,29,1,2,3.15,2.36,30,21,10,8,6,5,1,0,20,13,13,6,0,2,40,36,15,16,0,0,0.96
"2024-01-20 - WPG 2, OTT 1",WPG,55,65,41,48,29,35,2,1,2.36,3.15,21,30,8,10,5,6,0,1,13,20,6,13,2,0,36,40,16,15,0,0,1.04
"2024-01-20 - MTL 4, BOS 9",BOS,53,46,45,32,36,21,9,4,3.48,1.72,39,21,18,10,14,6,7,2,21,11,13,4,2,1,19,32,7,11,0,1,1.06
"2024-01-20 - MTL 4, BOS 9",MTL,46,53,32,45,21,36,4,9,1.72,3.48,21,39,10,18,6,14,2,7,11,21,4,13,1,2,32,19,11,7,1,0,0.94
"2024-01-20 - DAL 6, NJ 2",DAL,68,66,50,47,36,31,6,2,3.62,3.23,31,24,13,11,12,7,5,1,18,13,8,5,0,1,40,44,14,19,1,0,1.102
"2024-01-20 - DAL 6, NJ 2",NJ,66,68,47,50,31,36,2,6,3.23,3.62,24,31,11,13,7,12,1,5,13,18,5,8,1,0,44,40,19,14,0,1,0.898
"2024-01-20 - TOR 4, VAN 6",TOR,77,50,58,36,46,21,4,6,3.39,2.14,28,20,15,9,12,5,1,4,13,11,6,6,1,1,64,27,26,8,2,1,0.801
"2024-01-20 - TOR 4, VAN 6",VAN,50,77,36,58,21,46,6,4,2.14,3.39,20,28,9,15,5,12,4,1,11,13,6,6,1,1,27,64,8,26,1,2,1.199
"2024-01-20 - WSH 0, STL 3",STL,56,46,39,27,29,18,3,0,2.45,2.09,21,27,8,11,6,6,1,0,13,16,5,6,1,0,37,25,17,6,1,0,1.103
"2024-01-20 - WSH 0, STL 3",WSH,46,56,27,39,18,29,0,3,2.09,2.45,27,21,11,8,6,6,0,1,16,13,6,5,0,1,25,37,6,17,0,1,0.897
"2024-01-20 - EDM 3, CGY 1",CGY,49,55,35,45,27,32,1,3,2.3,4.54,29,28,10,13,8,11,1,2,19,15,6,5,0,0,25,36,10,15,0,1,0.943
"2024-01-20 - EDM 3, CGY 1",EDM,55,49,45,35,32,27,3,1,4.54,2.3,28,29,13,10,11,8,2,1,15,19,5,6,0,0,36,25,15,10,1,0,1.057
"2024-01-20 - ANA 3, SJ 5",ANA,67,57,48,35,34,19,3,5,4.15,3.35,42,25,16,11,11,6,1,2,26,14,10,6,1,1,31,30,10,6,1,2,0.825
"2024-01-20 - ANA 3, SJ 5",SJ,57,67,35,48,19,34,5,3,3.35,4.15,25,42,11,16,6,11,2,1,14,26,6,10,1,1,30,31,6,10,2,1,1.175
"2024-01-20 - PIT 2, VGK 3",PIT,58,58,36,44,25,29,2,3,2.03,3.11,25,28,7,10,3,8,0,2,18,18,8,8,1,1,36,31,13,8,1,0,0.977
"2024-01-20 - PIT 2, VGK 3",VGK,58,58,44,36,29,25,3,2,3.11,2.03,28,25,10,7,8,3,2,0,18,18,8,8,1,1,31,36,8,13,0,1,1.023
