Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2021-04-29 - DAL 0, TB 3",TB,43,43,35,27,28,20,3,0,2.17,1.21,19,27,7,5,4,3,1,0,12,22,7,9,1,0,21,16,16,8,0,0,1.107
"2021-04-29 - STL 5, MIN 4",MIN,59,43,40,34,30,21,4,5,1.66,1.9,19,22,7,8,6,4,0,3,12,14,8,6,3,2,33,19,16,10,1,0,0.895
"2021-04-29 - STL 5, MIN 4",STL,43,59,34,40,21,30,5,4,1.9,1.66,22,19,8,7,4,6,3,0,14,12,6,8,2,3,19,33,10,16,0,1,1.105
"2021-04-29 - BUF 2, BOS 5",BOS,63,48,56,39,40,31,5,2,2.99,2.55,26,26,12,9,10,8,2,2,14,17,7,10,1,0,34,20,20,12,1,0,1.06
"2021-04-29 - BUF 2, BOS 5",BUF,48,63,39,56,31,40,2,5,2.55,2.99,26,26,9,12,8,10,2,2,17,14,10,7,0,1,20,34,12,20,0,1,0.94
"2021-04-29 - PHI 3, NJ 5",NJ,42,54,30,39,19,24,5,3,2.71,2.18,24,28,7,6,4,4,2,2,17,22,5,9,2,1,18,24,10,10,1,0,1.138
"2021-04-29 - PHI 3, NJ 5",PHI,54,42,39,30,24,19,3,5,2.18,2.71,28,24,6,7,4,4,2,2,22,17,9,5,1,2,24,18,10,10,0,1,0.862
"2021-04-29 - NYI 4, NYR 0",NYI,54,57,42,40,27,25,4,0,2.43,2.21,29,26,9,9,5,6,0,0,20,17,9,5,3,0,23,26,12,13,1,0,1.148
"2021-04-29 - NYI 4, NYR 0",NYR,57,54,40,42,25,27,0,4,2.21,2.43,26,29,9,9,6,5,0,0,17,20,5,9,0,3,26,23,13,12,0,1,0.852
"2021-04-29 - PIT 5, WSH 4",PIT,62,61,48,47,35,37,5,4,2.48,2.66,20,28,6,13,5,9,4,3,14,15,6,7,0,0,35,28,24,18,1,1,1.035
"2021-04-29 - PIT 5, WSH 4",WSH,61,62,47,48,37,35,4,5,2.66,2.48,28,20,13,6,9,5,3,4,15,14,7,6,0,0,28,35,18,24,1,1,0.965
"2021-04-29 - DET 1, CAR 3",CAR,64,32,47,25,32,17,3,1,4.55,1.4,38,17,13,8,10,5,1,1,25,9,13,4,2,0,20,12,8,6,0,0,1.035
"2021-04-29 - DET 1, CAR 3",DET,32,64,25,47,17,32,1,3,1.4,4.55,17,38,8,13,5,10,1,1,9,25,4,13,0,2,12,20,6,8,0,0,0.965
"2021-04-29 - FLA 4, CHI 3",CHI,47,65,36,52,27,39,3,4,2.34,3.52,23,33,11,12,9,10,2,2,12,21,8,11,1,2,22,30,10,17,0,0,1.009
"2021-04-29 - FLA 4, CHI 3",FLA,65,47,52,36,39,27,4,3,3.52,2.34,33,23,12,11,10,9,2,2,21,12,11,8,2,1,30,22,17,10,0,0,0.991
"2021-04-29 - CGY 3, EDM 1",CGY,60,56,41,41,30,31,3,1,2.5,2.53,24,26,11,12,9,11,2,0,13,14,5,7,1,0,31,25,14,13,0,1,1.068
"2021-04-29 - CGY 3, EDM 1",EDM,56,60,41,41,31,30,1,3,2.53,2.5,26,24,12,11,11,9,0,2,14,13,7,5,0,1,25,31,13,14,1,0,0.932
"2021-04-29 - VAN 1, TOR 4",TOR,56,46,41,30,24,16,4,1,4.63,1.73,37,26,15,6,12,3,3,1,22,20,8,6,0,0,17,18,4,5,1,0,1.104
"2021-04-29 - VAN 1, TOR 4",VAN,46,56,30,41,16,24,1,4,1.73,4.63,26,37,6,15,3,12,1,3,20,22,6,8,0,0,18,17,5,4,0,1,0.896
"2021-04-30 - WPG 3, MTL 5",MTL,63,38,46,27,35,22,5,3,3.46,2.14,33,15,14,8,9,5,2,2,19,7,10,3,2,1,22,19,12,13,0,0,1.006
"2021-04-30 - WPG 3, MTL 5",WPG,38,63,27,46,22,35,3,5,2.14,3.46,15,33,8,14,5,9,2,2,7,19,3,10,1,2,19,22,13,12,0,0,0.994
"2021-04-30 - SJ 0, COL 3",COL,65,38,46,27,36,21,3,0,2.6,1.4,25,16,10,3,7,3,1,0,15,13,9,6,0,0,34,17,17,10,1,0,1.083
"2021-04-30 - SJ 0, COL 3",SJ,38,65,27,46,21,36,0,3,1.4,2.6,16,25,3,10,3,7,0,1,13,15,6,9,0,0,17,34,10,17,0,1,0.917
