Game,GameInfo,Date_x,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,Date_y,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
"2024-01-25 - NYI 3, MTL 4","2024-01-25 - NYI, MTL",2024-01-25,NYI,3,MTL,4,Won,2024-01-25,NYI,-150.0,1.67,0.6,0.5505673922030527,0.4494326077969473,0.44,2.25,125.0,MTL
"2024-01-25 - BOS 3, OTT 2","2024-01-25 - BOS, OTT",2024-01-25,BOS,3,OTT,2,Lost,2024-01-25,BOS,-135.0,1.74,0.57,0.4265111979145594,0.5734888020854405,0.47,2.15,115.0,OTT
"2024-01-25 - ARI 3, TB 6","2024-01-25 - ARI, TB",2024-01-25,ARI,3,TB,6,Won,2024-01-25,ARI,170.0,2.7,0.37,0.3730130955910789,0.6269869044089211,0.68,1.48,-210.0,TB
"2024-01-25 - ANA 3, DAL 4","2024-01-25 - ANA, DAL",2024-01-25,ANA,3,DAL,4,Won,2024-01-25,ANA,275.0,3.75,0.27,0.4394802989940413,0.5605197010059586,0.78,1.29,-350.0,DAL
"2024-01-25 - NSH 3, MIN 2","2024-01-25 - NSH, MIN",2024-01-25,NSH,3,MIN,2,Lost,2024-01-25,NSH,100.0,2.0,0.5,0.4926887045198732,0.5073112954801269,0.55,1.83,-120.0,MIN
"2024-01-25 - CBJ 5, CGY 2","2024-01-25 - CBJ, CGY",2024-01-25,CBJ,5,CGY,2,Lost,2024-01-25,CBJ,155.0,2.55,0.39,0.4605989064895526,0.5394010935104473,0.65,1.53,-190.0,CGY
"2024-01-25 - CHI 0, EDM 3","2024-01-25 - CHI, EDM",2024-01-25,CHI,0,EDM,3,Won,2024-01-25,CHI,450.0,5.5,0.18,0.4267594487939881,0.5732405512060119,0.87,1.15,-650.0,EDM
"2024-01-26 - VGK 5, NYR 2","2024-01-26 - VGK, NYR",2024-01-26,VGK,5,NYR,2,Lost,2024-01-26,VGK,125.0,2.25,0.44,0.4497671614218855,0.5502328385781144,0.6,1.67,-150.0,NYR
"2024-01-26 - FLA 3, PIT 2","2024-01-26 - FLA, PIT",2024-01-26,FLA,3,PIT,2,Lost,2024-01-26,FLA,-130.0,1.77,0.56,0.43700048259788,0.5629995174021198,0.49,2.05,105.0,PIT
"2024-01-26 - LA 1, COL 5","2024-01-26 - LA, COL",2024-01-26,LA,1,COL,5,Won,2024-01-26,LA,125.0,2.25,0.44,0.4542165203115285,0.5457834796884715,0.6,1.67,-150.0,COL
"2024-01-26 - STL 4, SEA 3","2024-01-26 - STL, SEA",2024-01-26,STL,4,SEA,3,Lost,2024-01-26,STL,,,,0.4384694256930958,0.5615305743069042,0.62,1.61,-165.0,SEA
"2024-01-27 - BOS 6, PHI 2","2024-01-27 - BOS, PHI",2024-01-27,BOS,6,PHI,2,Lost,2024-01-27,BOS,-150.0,1.67,0.6,0.435665498688662,0.5643345013113381,0.44,2.25,125.0,PHI
"2024-01-27 - WSH 4, DAL 5","2024-01-27 - WSH, DAL",2024-01-27,WSH,4,DAL,5,Won,2024-01-27,WSH,190.0,2.9,0.34,0.4593588340040403,0.5406411659959596,0.71,1.4,-250.0,DAL
"2024-01-27 - NSH 1, EDM 4","2024-01-27 - NSH, EDM",2024-01-27,NSH,1,EDM,4,Won,2024-01-27,NSH,185.0,2.85,0.35,0.4220553678463816,0.5779446321536182,0.69,1.44,-225.0,EDM
"2024-01-27 - BUF 5, SJ 2","2024-01-27 - BUF, SJ",2024-01-27,BUF,5,SJ,2,Lost,2024-01-27,BUF,-200.0,1.5,0.67,0.5066572516387204,0.4933427483612795,0.38,2.65,165.0,SJ
"2024-01-27 - ARI 1, CAR 3","2024-01-27 - ARI, CAR",2024-01-27,ARI,1,CAR,3,Won,2024-01-27,ARI,200.0,3.0,0.33,0.4207024163718482,0.5792975836281518,0.71,1.4,-250.0,CAR
"2024-01-27 - VGK 2, DET 5","2024-01-27 - VGK, DET",2024-01-27,VGK,2,DET,5,Won,2024-01-27,VGK,110.0,2.1,0.48,0.4673932686903069,0.532606731309693,0.57,1.74,-135.0,DET
"2024-01-27 - NYR 7, OTT 2","2024-01-27 - NYR, OTT",2024-01-27,NYR,7,OTT,2,Lost,2024-01-27,NYR,-110.0,1.91,0.52,0.4353061793782993,0.5646938206217007,0.52,1.91,-110.0,OTT
"2024-01-27 - MTL 2, PIT 3","2024-01-27 - MTL, PIT",2024-01-27,MTL,2,PIT,3,Won,2024-01-27,MTL,185.0,2.85,0.35,0.4105591689923426,0.5894408310076573,0.69,1.44,-225.0,PIT
"2024-01-27 - NJ 3, TB 6","2024-01-27 - NJ, TB",2024-01-27,NJ,3,TB,6,Won,2024-01-27,NJ,125.0,2.25,0.44,0.4294013234916814,0.5705986765083186,0.61,1.65,-155.0,TB
"2024-01-27 - TOR 4, WPG 2","2024-01-27 - TOR, WPG",2024-01-27,TOR,4,WPG,2,Lost,2024-01-27,TOR,105.0,2.05,0.49,0.4655699423789191,0.5344300576210809,0.56,1.77,-130.0,WPG
