Game,Date_x,AwayTeam,Away Team Implied Probability,Away Probability,AwayScore,HomeTeam,Home Team Implied Probability,Home Probability,HomeScore,HomeResult,AwayBet,HomeBet,AwayBetWon,HomeBetWon,total_results,total_bets,total_return
"2023-12-29 - NJ 6, OTT 2",2023-12-29,NJ,0.53,0.4768800982086595,6,OTT,0.51,0.5231199017913404,2,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-29 - NJ 6, OTT 2",2023-12-29,NJ,0.43,0.4768800982086595,6,OTT,0.51,0.5231199017913404,2,Lost,1,1,1.0,0.0,1.0,2,2.3255813953488373
"2023-12-29 - WSH 1, NYI 5",2023-12-29,WSH,0.43,0.5324711269878849,1,NYI,0.61,0.4675288730121149,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-29 - WSH 1, NYI 5",2023-12-29,WSH,0.53,0.5324711269878849,1,NYI,0.61,0.4675288730121149,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-29 - CHI 4, DAL 5",2023-12-29,CHI,0.24,0.4184555645312424,4,DAL,0.8,0.5815444354687576,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-29 - COL 2, STL 1",2023-12-29,COL,0.62,0.4887707268124769,2,STL,,0.5112292731875231,1,Lost,0,0,1.0,0.0,0.0,0,
"2023-12-29 - ARI 2, ANA 0",2023-12-29,ARI,0.56,0.525913234775164,2,ANA,0.48,0.4740867652248359,0,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-29 - PHI 1, SEA 2",2023-12-29,PHI,0.47,0.4723140415795014,1,SEA,0.57,0.5276859584204986,2,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-30 - MIN 2, WPG 4",2023-12-30,MIN,0.45,0.4414900089066569,2,WPG,0.59,0.558509991093343,4,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-30 - CBJ 2, BUF 3",2023-12-30,CBJ,0.38,0.4155792439935645,2,BUF,0.67,0.5844207560064355,3,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-30 - NJ 2, BOS 5",2023-12-30,NJ,0.43,0.5557194821066259,2,BOS,0.61,0.4442805178933739,5,Won,1,0,0.0,1.0,0.0,1,0.0
